31,,,2014,,,JPN,,ムトウ, ,,,ムトウ, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
32,,,2013,,,JPN,,ダサぼう, ,,,ダサぼう, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
33,,,2013,,,USA,,Gio,Giovanni Costa,,,Gio™,the_one_gio,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
34,,,2011,,,JPN,,koyadofudx,koyadofudx,,,こうやどうふ,koyadofuDX,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/koyadofuDX/status/1686210770919727104?s=20,,,,Cresselia,Ursaluna,Heatran,Gyarados,Urshifu,Amoonguss,,,,,,,,,Psychic,Ground,Fire,Water,Fighting,Grass,Psychic,Ground,Fire,Water,Fighting,Grass,6 Cresselia,4 Ursaluna,0 Heatran,1 Gyarados,4 Urshifu,2 Amoonguss,0 Heatran,1 Gyarados,2 Amoonguss,4 Ursaluna,4 Urshifu,6 Cresselia,Heatran,Fire,,Gyarados,Water,,Amoonguss,Grass,,Ursaluna,Ground,,Urshifu,Fighting,,Cresselia,Psychic,,,,,,,,,,Heatran,Gyarados,Amoonguss,Ursaluna,Urshifu,Cresselia,,"Cresselia, Ursaluna, Heatran, Gyarados, Urshifu, Amoonguss"
35,,,2011,,,JPN,,TN57583085,TN57583085,,,ネイティオ？,tn57583085,Link,https://twitter.com/Link,,,Focus Sash,,,Assault Vest,,,Covert Cloak,,,Choice Scarf,,,Choice Specs,,,Choice Band,,,https://pokepast.es/eba696d6fc294777,Yes,,,https://twitter.com/tn57583085/status/1686285044992917504?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,VWP75K,,,Iron Hands,Flutter Mane,Gholdengo,Urshifu-Rapid-Strike,Tornadus,Dragonite,,Assault Vest,Choice Specs,Choice Scarf,Focus Sash,Covert Cloak,Choice Band,,Water,Water,Steel,Water,Flying,Normal,Water,Water,Steel,Water,Flying,Normal,5 Iron Hands,9 Flutter Mane,8 Gholdengo,2 Urshifu-Rapid-Strike,6 Tornadus,A Dragonite,2 Urshifu-Rapid-Strike,5 Iron Hands,6 Tornadus,8 Gholdengo,9 Flutter Mane,A Dragonite,Urshifu-Rapid-Strike,Water,Focus Sash,Iron Hands,Water,Assault Vest,Tornadus,Flying,Covert Cloak,Gholdengo,Steel,Choice Scarf,Flutter Mane,Water,Choice Specs,Dragonite,Normal,Choice Band,,,,,,,,,Urshifu-Rapid-Strike,Iron Hands,Tornadus,Gholdengo,Flutter Mane,Dragonite,,"Iron Hands, Flutter Mane, Gholdengo, Urshifu-Rapid-Strike, Tornadus, Dragonite"
36,,,2009,,,JPN,,りょうたろう, ,,,りょうたろう, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
37,,,2008,,,JPN,,クラウンsr, ,,,クラウンsr, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
38,,,2008,,,JPN,,cantfly,Yuma Miyamoto,,,とり。,cantfly_ss,Link,https://twitter.com/Link,,,Splash Plate,,,Focus Sash,,,Assault Vest,,,Choice Scarf,,,Sitrus Berry,,,Choice Specs,,,https://pokepast.es/67af6bd4970895f4,No,,,https://twitter.com/cantfly_ss/status/1686191106739089408?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,,,,Farigiraf,Iron Hands,Flutter Mane,Chien-Pao,Urshifu-Rapid-Strike,Landorus-Therian,,Sitrus Berry,Assault Vest,Choice Specs,Focus Sash,Splash Plate,Choice Scarf,,Fairy,Grass,Fairy,Grass,Water,Flying,Fairy,Grass,Fairy,Grass,Water,Flying,7 Farigiraf,5 Iron Hands,9 Flutter Mane,5 Chien-Pao,2 Urshifu-Rapid-Strike,6 Landorus-Therian,2 Urshifu-Rapid-Strike,5 Chien-Pao,5 Iron Hands,6 Landorus-Therian,7 Farigiraf,9 Flutter Mane,Urshifu-Rapid-Strike,Water,Splash Plate,Chien-Pao,Grass,Focus Sash,Iron Hands,Grass,Assault Vest,Landorus-Therian,Flying,Choice Scarf,Farigiraf,Fairy,Sitrus Berry,Flutter Mane,Fairy,Choice Specs,,,,,,,,,Urshifu-Rapid-Strike,Chien-Pao,Iron Hands,Landorus-Therian,Farigiraf,Flutter Mane,,"Farigiraf, Iron Hands, Flutter Mane, Chien-Pao, Urshifu-Rapid-Strike, Landorus-Therian"
39,,,2008,,,JPN,,おんそに, ,,,おんそに, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
40,,,2007,,,JPN,,しぶ, ,,,しぶ, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
41,,,2007,,,JPN,,barudoru,Ryota Otsubo,,,ナミ,barudoru,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/barudoru/status/1686345348137332736?s=20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
42,,,2007,,,JPN,,tonton,Yusuke Shibano,,,スカーレット,oevu0apjadb4qde,Link,https://twitter.com/Link,,,Leftovers,,,Flame Orb,,,Focus Sash,,,Rocky Helmet,,,Safety Goggles,,,Booster Energy,,,https://pokepast.es/a5102116fa38f7c1,No,,,https://twitter.com/oevu0apjadb4qde/status/1686513440108777472?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,,,,Flutter Mane,Thundurus,Urshifu,Heatran,Cresselia,Ursaluna,,Booster Energy,Rocky Helmet,Focus Sash,Leftovers,Safety Goggles,Flame Orb,,Fairy,Electric,Dark,Grass,Fire,Ghost,Fairy,Electric,Dark,Grass,Fire,Ghost,9 Flutter Mane,6 Thundurus,5 Urshifu,1 Heatran,7 Cresselia,5 Ursaluna,1 Heatran,5 Ursaluna,5 Urshifu,6 Thundurus,7 Cresselia,9 Flutter Mane,Heatran,Grass,Leftovers,Ursaluna,Ghost,Flame Orb,Urshifu,Dark,Focus Sash,Thundurus,Electric,Rocky Helmet,Cresselia,Fire,Safety Goggles,Flutter Mane,Fairy,Booster Energy,,,,,,,,,Heatran,Ursaluna,Urshifu,Thundurus,Cresselia,Flutter Mane,,"Flutter Mane, Thundurus, Urshifu, Heatran, Cresselia, Ursaluna"
43,,,2007,,,JPN,,pokeShangrira,Kai Yazawa,,,ハナノユメ,pokeShangrira,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/pokeShangrira/status/1686202824101900288?s=20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
44,,,2007,,,ITA,,FedeCampoVGC,Federico Camporesi,,,FedeCampoVGC,FedeCampoVGC,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/FedeCampoVGC/status/1686311832837926944?s=20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
45,,,2007,,,JPN,,セイラキッズ, ,,,セイラキッズ, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
46,,,2006,,,JPN,,まおうパム, ,,,まおうパム, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
47,,,2006,,,JPN,,！ぶラん？, ,,,！ぶラん？, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
48,,,2005,,,SGP,,Calculus,Calculus,,,Calculus,CalcVGC,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/CalcVGC/status/1686360444028825600?s=20,,,,Dondozo,Tatsugiri,,,,,,,,,,,,,,,,,,,,,,,,,2 Dondozo,2 Tatsugiri,-,-,-,-,-,-,-,-,2 Dondozo,2 Tatsugiri,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,Dondozo,,,Tatsugiri,,,,,,,,,,,-,-,-,-,Dondozo,Tatsugiri,,"Dondozo, Tatsugiri"
49,,,2005,,,ENG,,Perish♪, ,,,Perish♪, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
50,,,2005,,,JPN,,れいび, ,,,れいび, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
51,,,2004,,,JPN,,Ruuto,Ruuto,,,ルート,tbhla7130,Link,https://twitter.com/Link,,,Leftovers,,,Covert Cloak,,,Choice Scarf,,,Booster Energy,,,Roseli Berry,,,Choice Specs,,,https://pokepast.es/0f90e3794e4d6512,Yes,https://cdn.discordapp.com/attachments/1115863629896626237/1134568849912635472/IMG_9850.jpg,,https://twitter.com/tbhla7130/status/1686232554196832256?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,PM0G1S,Peaked 5th on July 24th,,Grimmsnarl,Sylveon,Zapdos,Heatran,Landorus-Therian,Flutter Mane,,Roseli Berry,Choice Specs,Covert Cloak,Leftovers,Choice Scarf,Booster Energy,,Ghost,Water,Water,Grass,Ghost,Fairy,Ghost,Water,Water,Grass,Ghost,Fairy,9 Grimmsnarl,9 Sylveon,4 Zapdos,1 Heatran,6 Landorus-Therian,9 Flutter Mane,1 Heatran,4 Zapdos,6 Landorus-Therian,9 Flutter Mane,9 Grimmsnarl,9 Sylveon,Heatran,Grass,Leftovers,Zapdos,Water,Covert Cloak,Landorus-Therian,Ghost,Choice Scarf,Flutter Mane,Fairy,Booster Energy,Grimmsnarl,Ghost,Roseli Berry,Sylveon,Water,Choice Specs,,,,,,,,,Heatran,Zapdos,Landorus-Therian,Flutter Mane,Grimmsnarl,Sylveon,,"Grimmsnarl, Sylveon, Zapdos, Heatran, Landorus-Therian, Flutter Mane"
52,,,2004,,,JPN,,クロン, ,,,クロン, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
53,,,2004,,,JPN,,リラックマ, ,,,リラックマ, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
54,,,2003,,,JPN,,フィリー, ,,,フィリー, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
55,,,2001,,,SGP,,Calculus,Calculus,,,LilCalc,CalcVGC,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/CalcVGC/status/1686360444028825600?s=20,,,,Dondozo,Tatsugiri,,,,,,,,,,,,,,,,,,,,,,,,,2 Dondozo,2 Tatsugiri,-,-,-,-,-,-,-,-,2 Dondozo,2 Tatsugiri,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,Dondozo,,,Tatsugiri,,,,,,,,,,,-,-,-,-,Dondozo,Tatsugiri,,"Dondozo, Tatsugiri"
56,,,2001,,,JPN,,ADHDポケ, ,,,ADHDポケ, ,yurin_625,https://twitter.com/yurin_625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
57,,,2001,,,JPN,,てらてら, ,,,てらてら, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
58,,,2000,,,JPN,,こーたろー, ,,,こーたろー, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
59,,,2000,,,JPN,,Candy, ,,,Candy, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
60,,,2000,,,JPN,,バイオレット, ,,,バイオレット, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
61,,,1996,,,JPN,,バイオレット, ,,,バイオレット, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
62,,,1993,,,ENG,,Not Gio, ,,,Not Gio, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
63,,,1991,,,ENG,,Jeremy, ,,,Jeremy, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
64,,,1988,,,JPN,,てぺこ, ,,,てぺこ, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
65,,,1984,,,JPN,,ティナ, ,,,ティナ, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
66,,,1982,,,CHN,,阿米, ,,,阿米, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
67,,,1980,,,JPN,,かなちんた, ,,,かなちんた, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
68,,,1980,,,JPN,,kuromi,kuromi,,,くろこのみ,kuromi_564731,Link,https://twitter.com/Link,,,Sitrus Berry,,,Focus Sash,,,Aguav Berry,,,Rocky Helmet,,,Choice Band,,,Assault Vest,,,https://pokepast.es/1ab966fffa6e00a2,Yes,,,https://twitter.com/kuromi_564731/status/1686194127460057088?s=20,YTN6MS,,,Rillaboom,Zapdos,Arcanine-Hisui,Iron Hands,Urshifu-Rapid-Strike,Chien-Pao,,Aguav Berry,Rocky Helmet,Sitrus Berry,Assault Vest,Focus Sash,Choice Band,,Water,Fire,Fairy,Water,Water,Dark,Water,Fire,Fairy,Water,Water,Dark,3 Rillaboom,4 Zapdos,1 Arcanine-Hisui,5 Iron Hands,2 Urshifu-Rapid-Strike,5 Chien-Pao,1 Arcanine-Hisui,2 Urshifu-Rapid-Strike,3 Rillaboom,4 Zapdos,5 Chien-Pao,5 Iron Hands,Arcanine-Hisui,Fairy,Sitrus Berry,Urshifu-Rapid-Strike,Water,Focus Sash,Rillaboom,Water,Aguav Berry,Zapdos,Fire,Rocky Helmet,Chien-Pao,Dark,Choice Band,Iron Hands,Water,Assault Vest,,,,,,,,,Arcanine-Hisui,Urshifu-Rapid-Strike,Rillaboom,Zapdos,Chien-Pao,Iron Hands,,"Rillaboom, Zapdos, Arcanine-Hisui, Iron Hands, Urshifu-Rapid-Strike, Chien-Pao"
69,,,1979,,,JPN,,たおかもいち, ,,,たおかもいち, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
70,,,1979,,,JPN,,バイオレット, ,,,バイオレット, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
71,,,1978,,,JPN,,ziguziguzaku,ziguziguzaku,,,サラ,ziguziguzaku,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/ziguziguzaku/status/1686229547153551360?s=20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
72,,,1978,,,JPN,,FuiYnb,FuiYnb,,,じーまーこう,fuiynb,Link,https://twitter.com/Link,,,Choice Specs,,,Life Orb,,,Aguav Berry,,,Psychic Seed,,,Rocky Helmet,,,Sitrus Berry,,,https://pokepast.es/fb4b8d253130dd76,Yes,,,https://twitter.com/fuiynb/status/1686194847118688257?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,2WBHML,,,Tornadus,Chi-Yu,Amoonguss,Indeedee-F,Sneasler,Basculegion,,Sitrus Berry,Choice Specs,Aguav Berry,Rocky Helmet,Psychic Seed,Life Orb,,Ghost,Fire,Water,Fairy,Rock,Water,Ghost,Fire,Water,Fairy,Rock,Water,6 Tornadus,1 Chi-Yu,3 Amoonguss,6 Indeedee-F,5 Sneasler,2 Basculegion,1 Chi-Yu,2 Basculegion,3 Amoonguss,5 Sneasler,6 Indeedee-F,6 Tornadus,Chi-Yu,Fire,Choice Specs,Basculegion,Water,Life Orb,Amoonguss,Water,Aguav Berry,Sneasler,Rock,Psychic Seed,Indeedee-F,Fairy,Rocky Helmet,Tornadus,Ghost,Sitrus Berry,,,,,,,,,Chi-Yu,Basculegion,Amoonguss,Sneasler,Indeedee-F,Tornadus,,"Tornadus, Chi-Yu, Amoonguss, Indeedee-F (Indeedee-Female), Sneasler, Basculegion"
73,,,1976,,,USA,,Peter,Peter Chen,,,PTP,MrPTPablo,Link,https://twitter.com/Link,,,Charcoal,,,Choice Scarf,,,Flame Orb,,,Focus Sash,,,Aguav Berry,,,Safety Goggles,,,https://pokepast.es/a324d473c903f2f0,Yes,,,https://twitter.com/MrPTPablo/status/1686175183231422465?s=20,KDPK0P,,,Staraptor,Urshifu,Farigiraf,Ursaluna,Scream Tail,Torkoal,,Choice Scarf,Focus Sash,Aguav Berry,Flame Orb,Safety Goggles,Charcoal,,Flying,Dark,Fairy,Ghost,Water,Fire,Flying,Dark,Fairy,Ghost,Water,Fire,5 Staraptor,5 Urshifu,7 Farigiraf,5 Ursaluna,9 Scream Tail,1 Torkoal,1 Torkoal,5 Staraptor,5 Ursaluna,5 Urshifu,7 Farigiraf,9 Scream Tail,Torkoal,Fire,Charcoal,Staraptor,Flying,Choice Scarf,Ursaluna,Ghost,Flame Orb,Urshifu,Dark,Focus Sash,Farigiraf,Fairy,Aguav Berry,Scream Tail,Water,Safety Goggles,,,,,,,,,Torkoal,Staraptor,Ursaluna,Urshifu,Farigiraf,Scream Tail,,"Staraptor, Urshifu, Farigiraf, Ursaluna, Scream Tail, Torkoal"
74,,,1975,,,JPN,,the_magentou,the_magentou,,,Shu,the_magentou,Link,https://twitter.com/Link,,,Focus Sash,,,Assault Vest,,,Lum Berry,,,Choice Band,,,Choice Scarf,,,Choice Specs,,,https://pokepast.es/403812842b36b4b7,Yes,,,https://twitter.com/the_magentou/status/1686190833274662912?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,JWWMFB,,,Flutter Mane,Chi-Yu,Cresselia,Ursaluna,Dondozo,Tatsugiri-Stretchy,,Choice Specs,Focus Sash,Choice Scarf,Choice Band,Assault Vest,Lum Berry,,Fairy,Ghost,Fairy,Water,Grass,Steel,Fairy,Ghost,Fairy,Water,Grass,Steel,9 Flutter Mane,1 Chi-Yu,7 Cresselia,5 Ursaluna,2 Dondozo,2 Tatsugiri-Stretchy,1 Chi-Yu,2 Dondozo,2 Tatsugiri-Stretchy,5 Ursaluna,7 Cresselia,9 Flutter Mane,Chi-Yu,Ghost,Focus Sash,Dondozo,Grass,Assault Vest,Tatsugiri-Stretchy,Steel,Lum Berry,Ursaluna,Water,Choice Band,Cresselia,Fairy,Choice Scarf,Flutter Mane,Fairy,Choice Specs,,,,,,,,,Chi-Yu,Dondozo,Tatsugiri-Stretchy,Ursaluna,Cresselia,Flutter Mane,,"Flutter Mane, Chi-Yu, Cresselia, Ursaluna, Dondozo, Tatsugiri-Stretchy"
75,,,1975,,,JPN,,バイオレット, ,,,バイオレット, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
76,,,1974,,,JPN,,ロド, ,,,ロド, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
77,,,1974,,,JPN,,mole, ,,,mole, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
