26,#22,Yes,8 - 2,8,2,USA,,Giovanni Costa,Giovanni Costa,,,Gio™,the_one_gio,the_one_gio,https://twitter.com/the_one_gio,,,Wide Lens,,,Focus Sash,,,Covert Cloak,,,Sitrus Berry,,,Life Orb,,,Choice Band,60,-,View,https://pokepast.es/b5a57ab1e67a6892,No EVs,-,-,Stream Round 8 (W),,,Dragonite,Talonflame,Meowscarada,Gholdengo,Great Tusk,Gothitelle,,Choice Band,Wide Lens,Focus Sash,Life Orb,Covert Cloak,Sitrus Berry,,Normal,Ghost,Grass,Steel,Ground,Dark,Normal,Ghost,Grass,Steel,Ground,Dark,9 Dragonite,0 Talonflame,2 Meowscarada,7 Gholdengo,4 Great Tusk,6 Gothitelle,0 Talonflame,2 Meowscarada,4 Great Tusk,6 Gothitelle,7 Gholdengo,9 Dragonite,Talonflame,Ghost,Wide Lens,Meowscarada,Grass,Focus Sash,Great Tusk,Ground,Covert Cloak,Gothitelle,Dark,Sitrus Berry,Gholdengo,Steel,Life Orb,Dragonite,Normal,Choice Band,,,,,,,,,Talonflame,Meowscarada,Great Tusk,Gothitelle,Gholdengo,Dragonite,,"Dragonite, Talonflame, Meowscarada, Gholdengo, Great Tusk, Gothitelle",,Xavier Méndez,170,Mark Badding,81,thomas Wolfe,41,Sean Pandolfo,25,Janice Lee,8,Bhushan Thumsi,6,Jacob Mortenson,7,Luca Paz,23,Chad Temple,6,Yotam Cohen,3
27,#24,Yes,8 - 2,8,2,CHN,,Tang Shiliang,Shiliang Tang,,,20亮亮,tsltang0508,tsltang0508,https://twitter.com/tsltang0508,,,Sitrus Berry,,,Leftovers,,,Choice Scarf,,,Loaded Dice,,,Assault Vest,,,Focus Sash,60,-,View,https://pokepast.es/af515613486f4b65,https://pbs.twimg.com/media/FoUzURgXwAI2rtO?format=jpg&name=large,-,https://twitter.com/tsltang0508/status/1622759668173922310,,,,Volcarona,Flutter Mane,Brute Bonnet,Tatsugiri,Dondozo,Kingambit,,Sitrus Berry,Focus Sash,Loaded Dice,Choice Scarf,Leftovers,Assault Vest,,Water,Fairy,Poison,Fire,Steel,Fairy,Water,Fairy,Poison,Fire,Steel,Fairy,0 Volcarona,8 Flutter Mane,2 Brute Bonnet,1 Tatsugiri,1 Dondozo,7 Kingambit,0 Volcarona,1 Dondozo,1 Tatsugiri,2 Brute Bonnet,7 Kingambit,8 Flutter Mane,Volcarona,Water,Sitrus Berry,Dondozo,Steel,Leftovers,Tatsugiri,Fire,Choice Scarf,Brute Bonnet,Poison,Loaded Dice,Kingambit,Fairy,Assault Vest,Flutter Mane,Fairy,Focus Sash,,,,,,,,,Volcarona,Dondozo,Tatsugiri,Brute Bonnet,Kingambit,Flutter Mane,,"Volcarona, Flutter Mane, Brute Bonnet, Tatsugiri, Dondozo, Kingambit",,Joe Winkler,284,Jonathan Melendez,171,Martin Dillon,124,Nicholas Walterhouse,78,Chris Wolfe,104,Joshua Lorcy,58,Riley Factura,24,David Kubiak,61,Paul Chua,8,James Baek,19
28,#25,Yes,8 - 2,8,2,USA,,Luca Paz,Luca Paz,,,0-x in swiss,icebergvgc,icebergvgc,https://twitter.com/icebergvgc,,,Safety Goggles,,,Leftovers,,,Choice Scarf,,,Focus Sash,,,Choice Specs,,,Assault Vest,60,-,View,https://pokepast.es/7fdecc1ed979f84b,No EVs,-,https://twitter.com/icebergvgc/status/1622243431467687936,Stream Round 8 (L),,,Great Tusk,Gholdengo,Talonflame,Dragonite,Tatsugiri,Dondozo,,Focus Sash,Choice Specs,Safety Goggles,Assault Vest,Choice Scarf,Leftovers,,Ground,Steel,Ghost,Flying,Water,Steel,Ground,Steel,Ghost,Flying,Water,Steel,4 Great Tusk,7 Gholdengo,0 Talonflame,9 Dragonite,1 Tatsugiri,1 Dondozo,0 Talonflame,1 Dondozo,1 Tatsugiri,4 Great Tusk,7 Gholdengo,9 Dragonite,Talonflame,Ghost,Safety Goggles,Dondozo,Steel,Leftovers,Tatsugiri,Water,Choice Scarf,Great Tusk,Ground,Focus Sash,Gholdengo,Steel,Choice Specs,Dragonite,Flying,Assault Vest,,,,,,,,,Talonflame,Dondozo,Tatsugiri,Great Tusk,Gholdengo,Dragonite,,"Great Tusk, Gholdengo, Talonflame, Dragonite, Tatsugiri, Dondozo",,Alex Shultz,262,Zach Holowiak,6,Thomas Cholakov,43,Joaquin Campuzano,16,Jeffrey Shine,49,Rhydar Okula,55,Cory Wilkinson,30,Giovanni Costa,23,Anthony Esposito,25,Enmanuel Zapata,12
29,#27,Yes,8 - 2,8,2,USA,,Max Gelman,Max Gelman,,,Max,BrassVGC,BrassVGC,https://twitter.com/BrassVGC,,,Aguav Berry,,,Sitrus Berry,,,Booster Energy,,,Assault Vest,,,Focus Sash,,,Life Orb,60,-,View,https://pokepast.es/54d9a1a14241dbf4,https://pbs.twimg.com/media/FoNqm0uXEAIyUrk?format=jpg&name=360x360,-,https://twitter.com/BrassVGC/status/1622257510554996736,,realbmorebrass,,Espathra,Flutter Mane,Amoonguss,Iron Hands,Arcanine,Sandy Shocks,,Focus Sash,Life Orb,Sitrus Berry,Assault Vest,Aguav Berry,Booster Energy,,Ghost,Fairy,Dark,Grass,Grass,Grass,Ghost,Fairy,Dark,Grass,Grass,Grass,6 Espathra,8 Flutter Mane,2 Amoonguss,4 Iron Hands,0 Arcanine,3 Sandy Shocks,0 Arcanine,2 Amoonguss,3 Sandy Shocks,4 Iron Hands,6 Espathra,8 Flutter Mane,Arcanine,Grass,Aguav Berry,Amoonguss,Dark,Sitrus Berry,Sandy Shocks,Grass,Booster Energy,Iron Hands,Grass,Assault Vest,Espathra,Ghost,Focus Sash,Flutter Mane,Fairy,Life Orb,,,,,,,,,Arcanine,Amoonguss,Sandy Shocks,Iron Hands,Espathra,Flutter Mane,,"Espathra, Flutter Mane, Amoonguss, Iron Hands, Arcanine, Sandy Shocks",,Katherine Wible,20,Brian Fournier,127,Collin Hand,4,Jonathan Quiñones,33,Nicholas Hughes,42,Nick Navarre,36,Will Adorno,116,Christopher Baez,49,Thaison Hughes,26,Justin Burns,9
30,#28,Yes,8 - 2,8,2,USA,,Brady Smith,Brady Smith,,,B,bsmiffy_,bsmiffy_,https://twitter.com/bsmiffy_,,,Focus Sash,,,Leftovers,,,Assault Vest,,,Sitrus Berry,,,Life Orb,,,Choice Band,60,-,View,https://pokepast.es/b672974a84215e0d,Yes,-,https://twitter.com/bsmiffy_/status/1622298097400389632,Stream Round 3A (L),,,Flutter Mane,Iron Hands,Dragonite,Gothitelle,Iron Bundle,Garganacl,,Life Orb,Assault Vest,Choice Band,Sitrus Berry,Focus Sash,Leftovers,,Fairy,Grass,Flying,Steel,Ice,Ghost,Fairy,Grass,Flying,Steel,Ice,Ghost,8 Flutter Mane,4 Iron Hands,9 Dragonite,6 Gothitelle,1 Iron Bundle,4 Garganacl,1 Iron Bundle,4 Garganacl,4 Iron Hands,6 Gothitelle,8 Flutter Mane,9 Dragonite,Iron Bundle,Ice,Focus Sash,Garganacl,Ghost,Leftovers,Iron Hands,Grass,Assault Vest,Gothitelle,Steel,Sitrus Berry,Flutter Mane,Fairy,Life Orb,Dragonite,Flying,Choice Band,,,,,,,,,Iron Bundle,Garganacl,Iron Hands,Gothitelle,Flutter Mane,Dragonite,,"Flutter Mane, Iron Hands, Dragonite, Gothitelle, Iron Bundle, Garganacl",,Guilbert Francois,264,Pablo Marquez,144,Aaron Traylor,3,Ryan Gordon,91,Noah Pielow,54,Camilo Liberona,48,Justin Carris,35,Collin Hand,25,Carson Confer,12,Michael Spinetta-McCarthy,14
31,#29,Yes,8 - 2,8,2,CUB,,Kevin Salvetto,Kevin Salvetto,,,Lil Bo Peep,Wilfire70,Wilfire70,https://twitter.com/Wilfire70,,,Safety Goggles,,,Focus Sash,,,Covert Cloak,,,Leftovers,,,Sitrus Berry,,,Booster Energy,60,-,View,https://pokepast.es/5b473f2f3cbb69c2,No EVs,-,https://twitter.com/Wilfire70/status/1622240406384541701,,,,Arcanine,Roaring Moon,Iron Bundle,Iron Hands,Amoonguss,Garganacl,,Safety Goggles,Booster Energy,Focus Sash,Sitrus Berry,Covert Cloak,Leftovers,,Dark,Flying,Ghost,Grass,Dark,Ghost,Dark,Flying,Ghost,Grass,Dark,Ghost,0 Arcanine,9 Roaring Moon,1 Iron Bundle,4 Iron Hands,2 Amoonguss,4 Garganacl,0 Arcanine,1 Iron Bundle,2 Amoonguss,4 Garganacl,4 Iron Hands,9 Roaring Moon,Arcanine,Dark,Safety Goggles,Iron Bundle,Ghost,Focus Sash,Amoonguss,Dark,Covert Cloak,Garganacl,Ghost,Leftovers,Iron Hands,Grass,Sitrus Berry,Roaring Moon,Flying,Booster Energy,,,,,,,,,Arcanine,Iron Bundle,Amoonguss,Garganacl,Iron Hands,Roaring Moon,,"Arcanine, Roaring Moon, Iron Bundle, Iron Hands, Amoonguss, Garganacl",,Cameron Crouse,63,Ashton Cox,105,Benjamin March,60,Nathan Overbay,178,Kyle Wilkinson,110,Nawal Al Tanbour,60,Zackary Thornberg,34,felipe molino,77,Pedro Perez,30,Christian Ramirez,17
32,#32,Yes,8 - 2,8,2,USA,,Darsh Patel,Darsh Patel,,,Darsh,darshpetal,darshpetal,https://twitter.com/darshpetal,,,Mystic Water,,,Sitrus Berry,,,Covert Cloak,,,Iapapa Berry,,,Leftovers,,,Light Clay,60,-,View,https://pokepast.es/c3ca8d786838c883,No EVs,-,https://twitter.com/darshpetal/status/1622482717517414401,,,,Pelipper,Palafin,Amoonguss,Iron Hands,Gholdengo,Grimmsnarl,,Sitrus Berry,Mystic Water,Covert Cloak,Iapapa Berry,Leftovers,Light Clay,,Grass,Grass,Dark,Grass,Flying,Steel,Grass,Grass,Dark,Grass,Flying,Steel,1 Pelipper,1 Palafin,2 Amoonguss,4 Iron Hands,7 Gholdengo,8 Grimmsnarl,1 Palafin,1 Pelipper,2 Amoonguss,4 Iron Hands,7 Gholdengo,8 Grimmsnarl,Palafin,Grass,Mystic Water,Pelipper,Grass,Sitrus Berry,Amoonguss,Dark,Covert Cloak,Iron Hands,Grass,Iapapa Berry,Gholdengo,Flying,Leftovers,Grimmsnarl,Steel,Light Clay,,,,,,,,,Palafin,Pelipper,Amoonguss,Iron Hands,Gholdengo,Grimmsnarl,,"Pelipper, Palafin, Amoonguss, Iron Hands, Gholdengo, Grimmsnarl",,Ellie Homen,323,Matthew Cecil,83,Giovanni Cischke,95,Luis Canseco,103,juan guzman,100,Eric Bartlett,75,Alex Cronin,64,Dawei Si,76,Owen Wright,34,Tom Hull,31
Masters 33rd - 128th place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,#33,,8 - 2,8,2,USA,,Sohaib Mufti,Sohaib Mufti,,,soh,sohaibmufti,sohaibmufti,https://twitter.com/sohaibmufti,,,Safety Goggles,,,Booster Energy,,,Sitrus Berry,,,Lum Berry,,,Assault Vest,,,Focus Sash,50,-,View,https://pokepast.es/e381f9949f541114,No EVs,-,https://twitter.com/sohaibmufti/status/1622233148321832960,,,,Amoonguss,Iron Hands,Iron Bundle,Flutter Mane,Arcanine,Kingambit,,Sitrus Berry,Lum Berry,Booster Energy,Focus Sash,Safety Goggles,Assault Vest,,Dark,Ground,Ghost,Fairy,Dark,Grass,Dark,Ground,Ghost,Fairy,Dark,Grass,2 Amoonguss,4 Iron Hands,1 Iron Bundle,8 Flutter Mane,0 Arcanine,7 Kingambit,0 Arcanine,1 Iron Bundle,2 Amoonguss,4 Iron Hands,7 Kingambit,8 Flutter Mane,Arcanine,Dark,Safety Goggles,Iron Bundle,Ghost,Booster Energy,Amoonguss,Dark,Sitrus Berry,Iron Hands,Ground,Lum Berry,Kingambit,Grass,Assault Vest,Flutter Mane,Fairy,Focus Sash,,,,,,,,,Arcanine,Iron Bundle,Amoonguss,Iron Hands,Kingambit,Flutter Mane,,"Amoonguss, Iron Hands, Iron Bundle, Flutter Mane, Arcanine, Kingambit",,Jonathan Zielenski,149,Aaron Wegter,28,Daniel A Fontes,47,Giovanni Cischke,36,Steven Burton,103,Ian Lee,45,Rex Reyes,12,Kelvin Koon,7,Adrien Hurley,22,Austin Acosta,10
34,#34,,8 - 2,8,2,USA,,Zackary Thornberg,Zackary Thornberg,,,Zack,TechnoZ_,TechnoZ_,https://twitter.com/TechnoZ_,,,Leftovers,,,Focus Sash,,,Passho Berry,,,Choice Specs,,,Booster Energy,,,Sitrus Berry,50,-,View,https://pokepast.es/0a0bf9c098f87a35,No EVs,-,-,,,,Sylveon,Dondozo,Gholdengo,Tatsugiri,Garganacl,Flutter Mane,,Sitrus Berry,Leftovers,Choice Specs,Focus Sash,Passho Berry,Booster Energy,,Fire,Steel,Steel,Water,Ghost,Steel,Fire,Steel,Steel,Water,Ghost,Steel,8 Sylveon,1 Dondozo,7 Gholdengo,1 Tatsugiri,4 Garganacl,8 Flutter Mane,1 Dondozo,1 Tatsugiri,4 Garganacl,7 Gholdengo,8 Flutter Mane,8 Sylveon,Dondozo,Steel,Leftovers,Tatsugiri,Water,Focus Sash,Garganacl,Ghost,Passho Berry,Gholdengo,Steel,Choice Specs,Flutter Mane,Steel,Booster Energy,Sylveon,Fire,Sitrus Berry,,,,,,,,,Dondozo,Tatsugiri,Garganacl,Gholdengo,Flutter Mane,Sylveon,,"Sylveon, Dondozo, Gholdengo, Tatsugiri, Garganacl, Flutter Mane",,Zachary Liekweg,68,Todd Schulte,268,Isaac Work,139,Max Carter,177,Jesse Romolo,71,Don Czech,27,Kevin Salvetto,34,Adrien Hurley,4,Kelvin Koon,4,Ashton Cox,8
35,#35,,8 - 2,8,2,USA,,John Mills,John Mills,,,Mr. Brig,MrJohnBrig,MrJohnBrig,https://twitter.com/MrJohnBrig,,,Booster Energy,,,Covert Cloak,,,Focus Sash,,,Choice Scarf,,,Assault Vest,,,Choice Specs,50,-,View,https://pokepast.es/0273e2ffc32e32bc,No EVs,-,https://twitter.com/MrJohnBrig/status/1622092300196134913,,,,Flutter Mane,Dondozo,Tatsugiri,Annihilape,Iron Moth,Kingambit,,Choice Specs,Covert Cloak,Focus Sash,Choice Scarf,Booster Energy,Assault Vest,,Fairy,Steel,Water,Grass,Grass,Fire,Fairy,Steel,Water,Grass,Grass,Fire,8 Flutter Mane,1 Dondozo,1 Tatsugiri,4 Annihilape,0 Iron Moth,7 Kingambit,0 Iron Moth,1 Dondozo,1 Tatsugiri,4 Annihilape,7 Kingambit,8 Flutter Mane,Iron Moth,Grass,Booster Energy,Dondozo,Steel,Covert Cloak,Tatsugiri,Water,Focus Sash,Annihilape,Grass,Choice Scarf,Kingambit,Fire,Assault Vest,Flutter Mane,Fairy,Choice Specs,,,,,,,,,Iron Moth,Dondozo,Tatsugiri,Annihilape,Kingambit,Flutter Mane,,"Flutter Mane, Dondozo, Tatsugiri, Annihilape, Iron Moth, Kingambit",,Jamie Mancini,282,Jose Vazquez,10,Ethan Bowles,29,Marquis Blue,17,Owen Wright,16,Adrien Hurley,3,Joaquin Campuzano,22,Aditya Subramanian,20,Alberto Lara,43,Denis Espinoza,21
36,#36,,8 - 2,8,2,USA,,Patrick Connors,Patrick Connors,,,Patrick,pat_con5,pat_con5,https://twitter.com/pat_con5,,,Sitrus Berry,,,Leftovers,,,Focus Sash,,,Loaded Dice,,,Booster Energy,,,Safety Goggles,50,-,View,https://pokepast.es/b3a4a6b63da25a5a,No EVs,-,https://twitter.com/pat_con5/status/1622081140382208002,,Ax: Twitter is pat_con5,,Dondozo,Arcanine,Tatsugiri,Iron Hands,Brute Bonnet,Gothitelle,,Leftovers,Sitrus Berry,Focus Sash,Booster Energy,Loaded Dice,Safety Goggles,,Steel,Normal,Water,Grass,Fire,Dark,Steel,Normal,Water,Grass,Fire,Dark,1 Dondozo,0 Arcanine,1 Tatsugiri,4 Iron Hands,2 Brute Bonnet,6 Gothitelle,0 Arcanine,1 Dondozo,1 Tatsugiri,2 Brute Bonnet,4 Iron Hands,6 Gothitelle,Arcanine,Normal,Sitrus Berry,Dondozo,Steel,Leftovers,Tatsugiri,Water,Focus Sash,Brute Bonnet,Fire,Loaded Dice,Iron Hands,Grass,Booster Energy,Gothitelle,Dark,Safety Goggles,,,,,,,,,Arcanine,Dondozo,Tatsugiri,Brute Bonnet,Iron Hands,Gothitelle,,"Dondozo, Arcanine, Tatsugiri, Iron Hands, Brute Bonnet, Gothitelle",,Troy Merritt,322,Jarod Thue,90,Gregory Marinakis,81,James Evans,34,Alex Cronin,26,David Mancuso,16,Marcus Dion,41,James Flanagan,64,Jake Rosen,52,Kelvin Koon,35
37,#37,,8 - 2,8,2,USA,,Austin Forcinito,Austin Forcinito,,,Lylah,SirSquishi,SirSquishi,https://twitter.com/SirSquishi,,,Covert Cloak,,,Leftovers,,,Choice Scarf,,,Focus Sash,,,Life Orb,,,Choice Specs,50,-,View,https://pokepast.es/735da47282b84e0f,https://pbs.twimg.com/media/FoQxbLBXgAAERAU?format=jpg&name=large,-,https://twitter.com/SirSquishi/status/1622476111115419648,,,,Tatsugiri,Talonflame,Dondozo,Pawmot,Flutter Mane,Great Tusk,,Choice Scarf,Covert Cloak,Leftovers,Focus Sash,Choice Specs,Life Orb,,Water,Ghost,Dragon,Electric,Fairy,Steel,Water,Ghost,Dragon,Electric,Fairy,Steel,1 Tatsugiri,0 Talonflame,1 Dondozo,3 Pawmot,8 Flutter Mane,4 Great Tusk,0 Talonflame,1 Dondozo,1 Tatsugiri,3 Pawmot,4 Great Tusk,8 Flutter Mane,Talonflame,Ghost,Covert Cloak,Dondozo,Dragon,Leftovers,Tatsugiri,Water,Choice Scarf,Pawmot,Electric,Focus Sash,Great Tusk,Steel,Life Orb,Flutter Mane,Fairy,Choice Specs,,,,,,,,,Talonflame,Dondozo,Tatsugiri,Pawmot,Great Tusk,Flutter Mane,,"Tatsugiri, Talonflame, Dondozo, Pawmot, Flutter Mane, Great Tusk",,Joshua Wong,14,Cole Wedge,280,Bryant Pereira,276,Cameron Crouse,195,Preston Stutzman,91,Stephanie Scruggs,30,Ryan Haig,19,Nathan Ortiz,15,Brian Collins,10,Carson Confer,7
38,#38,,8 - 2,8,2,USA,,Justin Stipe,Justin Stipe,,,Panko,PankoVGC,PankoVGC,https://twitter.com/PankoVGC,,,Covert Cloak,,,Sitrus Berry,,,Assault Vest,,,Roseli Berry,,,Life Orb,,,Booster Energy,50,-,View,https://pokepast.es/f9458013c637b5e9,No EVs,-,https://twitter.com/PankoVGC/status/1622091572182499330,,Twitter is PankoVGC,,Roaring Moon,Sableye,Iron Hands,Iron Bundle,Amoonguss,Gholdengo,,Booster Energy,Roseli Berry,Assault Vest,Covert Cloak,Sitrus Berry,Life Orb,,Flying,Poison,Grass,Ice,Water,Steel,Flying,Poison,Grass,Ice,Water,Steel,9 Roaring Moon,5 Sableye,4 Iron Hands,1 Iron Bundle,2 Amoonguss,7 Gholdengo,1 Iron Bundle,2 Amoonguss,4 Iron Hands,5 Sableye,7 Gholdengo,9 Roaring Moon,Iron Bundle,Ice,Covert Cloak,Amoonguss,Water,Sitrus Berry,Iron Hands,Grass,Assault Vest,Sableye,Poison,Roseli Berry,Gholdengo,Steel,Life Orb,Roaring Moon,Flying,Booster Energy,,,,,,,,,Iron Bundle,Amoonguss,Iron Hands,Sableye,Gholdengo,Roaring Moon,,"Roaring Moon, Sableye, Iron Hands, Iron Bundle, Amoonguss, Gholdengo",,Anthony Borda,117,Dominique Johnson,20,Nick Navarre,14,Austin McKay,96,Tristan Town,139,Gabriel Mendoza,120,Andrew Holt,59,Luis Diaz,31,Kevin Bisping,16,Kevin Sidonio,18
39,#39,,8 - 2,8,2,USA,,Mohammed Faizan,Mohammed Faizan,,,Fizzay,KurryCurry,KurryCurry,https://twitter.com/KurryCurry,,,Life Orb,,,Charcoal,,,Sitrus Berry,,,Booster Energy,,,Leftovers,,,Focus Sash,50,-,View,https://pokepast.es/3949c112b3600128,https://media.discordapp.net/attachments/1041626109680295966/1072977638542545028/Orlando_Mohammed_Faizan_KQ9VT1.jpg,-,https://twitter.com/KurryCurry/status/1622118439836942338,,,,Iron Hands,Indeedee-F,Torkoal,Amoonguss,Ditto,Armarouge,,Booster Energy,Focus Sash,Charcoal,Sitrus Berry,Leftovers,Life Orb,,Flying,Grass,Fire,Dark,Ghost,Psychic,Flying,Grass,Fire,Dark,Ghost,Psychic,4 Iron Hands,5 Indeedee-F,0 Torkoal,2 Amoonguss,5 Ditto,0 Armarouge,0 Armarouge,0 Torkoal,2 Amoonguss,4 Iron Hands,5 Ditto,5 Indeedee-F,Armarouge,Psychic,Life Orb,Torkoal,Fire,Charcoal,Amoonguss,Dark,Sitrus Berry,Iron Hands,Flying,Booster Energy,Ditto,Ghost,Leftovers,Indeedee-F,Grass,Focus Sash,,,,,,,,,Armarouge,Torkoal,Amoonguss,Iron Hands,Ditto,Indeedee-F,,"Iron Hands, Indeedee-F (Indeedee-Female), Torkoal, Amoonguss, Ditto, Armarouge",,Angel Miranda,43,Gennaro Zappariello,346,Jacob Moores,266,Evan Shepherd,158,Luis Diaz,39,Arbin Tumaneng,62,Jon Fonseca,77,Ellie Homen,82,Foster Hughes,47,Matthew Pencille,29
40,#40,,8 - 2,8,2,USA,,Carlos Wiley,Carlos Wiley,,,ChaoticAce,No Twitter,No Twitter,https://twitter.com/No Twitter,,,Sitrus Berry,,,Booster Energy,,,Rocky Helmet,,,Assault Vest,,,Focus Sash,,,Loaded Dice,50,-,View,https://pokepast.es/1ca79072f16e38c2,No EVs,-,-,,,,Flutter Mane,Baxcalibur,Iron Bundle,Amoonguss,Arcanine,Iron Hands,,Focus Sash,Loaded Dice,Booster Energy,Rocky Helmet,Sitrus Berry,Assault Vest,,Fairy,Water,Ice,Water,Dark,Grass,Fairy,Water,Ice,Water,Dark,Grass,8 Flutter Mane,9 Baxcalibur,1 Iron Bundle,2 Amoonguss,0 Arcanine,4 Iron Hands,0 Arcanine,1 Iron Bundle,2 Amoonguss,4 Iron Hands,8 Flutter Mane,9 Baxcalibur,Arcanine,Dark,Sitrus Berry,Iron Bundle,Ice,Booster Energy,Amoonguss,Water,Rocky Helmet,Iron Hands,Grass,Assault Vest,Flutter Mane,Fairy,Focus Sash,Baxcalibur,Water,Loaded Dice,,,,,,,,,Arcanine,Iron Bundle,Amoonguss,Iron Hands,Flutter Mane,Baxcalibur,,"Flutter Mane, Baxcalibur, Iron Bundle, Amoonguss, Arcanine, Iron Hands",,Jake Parisi,285,Timothy Wartinger,180,Grant Brown,98,Landon Morjal,12,Matthew Cecil,117,Joshua Denk,59,Alfonse Gaite,109,Joaquin Campuzano,79,Ian Lee,31,Chad Temple,13
41,#41,,8 - 2,8,2,USA,,Kyle Morris,Kyle Morris,,,TTViciousvgc,viciousvgc,viciousvgc,https://twitter.com/viciousvgc,,,Focus Sash,,,Covert Cloak,,,Assault Vest,,,Choice Specs,,,Throat Spray,,,Booster Energy,50,-,View,https://pokepast.es/7b1943cc5959c1d1,No EVs,-,https://twitter.com/ViciousVGC/status/1622114534805721090,,,,Flutter Mane,Iron Hands,Iron Bundle,Sylveon,Roaring Moon,Amoonguss,,Choice Specs,Assault Vest,Focus Sash,Throat Spray,Booster Energy,Covert Cloak,,Fairy,Grass,Ice,Fire,Flying,Water,Fairy,Grass,Ice,Fire,Flying,Water,8 Flutter Mane,4 Iron Hands,1 Iron Bundle,8 Sylveon,9 Roaring Moon,2 Amoonguss,1 Iron Bundle,2 Amoonguss,4 Iron Hands,8 Flutter Mane,8 Sylveon,9 Roaring Moon,Iron Bundle,Ice,Focus Sash,Amoonguss,Water,Covert Cloak,Iron Hands,Grass,Assault Vest,Flutter Mane,Fairy,Choice Specs,Sylveon,Fire,Throat Spray,Roaring Moon,Flying,Booster Energy,,,,,,,,,Iron Bundle,Amoonguss,Iron Hands,Flutter Mane,Sylveon,Roaring Moon,,"Flutter Mane, Iron Hands, Iron Bundle, Sylveon, Roaring Moon, Amoonguss",,Brendan Nussear,319,Wolfe Glick,30,Edwin Serrano,120,Chris Springer,337,Ruiyang Huang,127,Miles Davis,77,Jonathan Indovino,57,Jesse Romolo,65,Dan Fitzpatrick,21,ARSAL PURI,15
42,#42,,8 - 2,8,2,USA,,Cade Bowles,Cade Bowles,,,Difu,Bakufu_Difu,Bakufu_Difu,https://twitter.com/Bakufu_Difu,,,Booster Energy,,,Safety Goggles,,,Leftovers,,,Focus Sash,,,Life Orb,,,Light Clay,50,-,View,https://pokepast.es/aa3df23ce20df929,No EVs,-,https://twitter.com/Bakufu_Difu/status/1622124032601595904,,info from Embracing,,Garganacl,Iron Bundle,Grimmsnarl,Annihilape,Great Tusk,Flutter Mane,,Leftovers,Booster Energy,Light Clay,Safety Goggles,Focus Sash,Life Orb,,Dragon,Water,Ghost,Water,Ground,Fairy,Dragon,Water,Ghost,Water,Ground,Fairy,4 Garganacl,1 Iron Bundle,8 Grimmsnarl,4 Annihilape,4 Great Tusk,8 Flutter Mane,1 Iron Bundle,4 Annihilape,4 Garganacl,4 Great Tusk,8 Flutter Mane,8 Grimmsnarl,Iron Bundle,Water,Booster Energy,Annihilape,Water,Safety Goggles,Garganacl,Dragon,Leftovers,Great Tusk,Ground,Focus Sash,Flutter Mane,Fairy,Life Orb,Grimmsnarl,Ghost,Light Clay,,,,,,,,,Iron Bundle,Annihilape,Garganacl,Great Tusk,Flutter Mane,Grimmsnarl,,"Garganacl, Iron Bundle, Grimmsnarl, Annihilape, Great Tusk, Flutter Mane",,Devin Hofknecht,209,Noah Pielow,351,Sam Unietis,311,Alex Heaney,285,Cory Horowitz,136,Chalkey Horenstein,156,Jackson McMillan,46,Eduardo Abrego,42,Aaron Traylor,45,Sebastian Guerrero,30
43,#43,,8 - 2,8,2,USA,,Luke Bowar,Luke Bowar,,,Jin Furai,JinFurai,JinFurai,https://twitter.com/JinFurai,,,Life Orb,,,Charcoal,,,Choice Scarf,,,Booster Energy,,,Psychic Seed,,,Covert Cloak,50,-,View,https://pokepast.es/a2d44a416361363f,No EVs,-,https://twitter.com/JinFurai/status/1622096922067582978,,,,Armarouge,Hatterene,Indeedee-F,Torkoal,Iron Hands,Annihilape,,Life Orb,Covert Cloak,Psychic Seed,Charcoal,Booster Energy,Choice Scarf,,Grass,Fire,Grass,Fire,Grass,Grass,Grass,Fire,Grass,Fire,Grass,Grass,0 Armarouge,8 Hatterene,5 Indeedee-F,0 Torkoal,4 Iron Hands,4 Annihilape,0 Armarouge,0 Torkoal,4 Annihilape,4 Iron Hands,5 Indeedee-F,8 Hatterene,Armarouge,Grass,Life Orb,Torkoal,Fire,Charcoal,Annihilape,Grass,Choice Scarf,Iron Hands,Grass,Booster Energy,Indeedee-F,Grass,Psychic Seed,Hatterene,Fire,Covert Cloak,,,,,,,,,Armarouge,Torkoal,Annihilape,Iron Hands,Indeedee-F,Hatterene,,"Armarouge, Hatterene, Indeedee-F (Indeedee-Female), Torkoal, Iron Hands, Annihilape",,Taurian Bradford,232,Alex Eley,84,Shawn Archbold,118,Robby Lanterman,118,Chris Fleischner,206,Mathew Courtney,124,Sam O'Dell,112,Jacob Mortenson,87,Noah Pielow,37,Luke Alkire,11
