,VGCPastes Repository (Regulation E),,,,,,,,,,,,,,,,,,,Total Team Count:,,78,,,,,Total Creator Count: ,51,,,Teams with Rentals: ,51,,,,,,,,,,,,
E28,Atalanta's Weezing Slaking Team,,Atalanta,,,,Focus Sash,,,Assault Vest,,,Choice Scarf,,,Leftovers,,,Rocky Helmet,,,Silk Scarf,,https://pokepast.es/24e8acda56090dc0,Yes,Owner's,✔,6NMX5V,29 Sep 2023,Tweet,-,https://twitter.com/wandali11688951/status/1707752552517849523?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,wandali11688951,,Chien-Pao,Slaking,Landorus-Therian,Weezing,Sinistcha-Masterpiece,Dragonite,,E28
E27,Magnetman's Pomelo Cup Runner Up Team,,Adryan Sutantoso,,,,Sitrus Berry,,,Assault Vest,,,Focus Sash,,,Rocky Helmet,,,Light Clay,,,Booster Energy,,https://pokepast.es/e50496abe42ec000,Yes,Owner's,✔,D6SD1R,29 Sep 2023,Pomelo Cup,Runner Up,https://twitter.com/MagnetmanVGC/status/1707653170414104832,-,-,MagnetmanVGC,,Arcanine-Hisui,Empoleon,Urshifu,Sinistcha,Ninetales-Alola,Roaring Moon,,E27
E26,Tsuyu's Wide League Top 4 Team,,Sangjin Kim,,,,Choice Band,,,Mystic Water,,,Scope Lens,,,Focus Sash,,,Rocky Helmet,,,Booster Energy,,https://pokepast.es/fd7f9b512675c038,Yes,Owner's,X,None,24 Sep 2023,Wide League,Top 4,https://twitter.com/tsuyuvgc/status/1706246663592202495?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,tsuyuvgc,,Arcanine-Hisui,Urshifu-Rapid-Strike,Ogerpon,Chien-Pao,Tornadus,Flutter Mane,,E26
E25,Jaylun's Pomelo Cup Top 4 Team,,Yang Chieh-Lun,,,,Hearthflame Mask,,,Meadow Plate,,,Assault Vest,,,Choice Scarf,,,Mental Herb,,,Booster Energy,,https://pokepast.es/040a0fbf9c85e7be,Yes,Owner's,X,None,25 Sep 2023,Pomelo Cup,Top 4,https://twitter.com/jaylun44/status/1706556225817919811?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,https://play.limitlesstcg.com/tournament/6507e6c2ef170f0f1b0dfca2/standings,-,jaylun44,,Ogerpon-Hearthflame,Rillaboom,Ursaluna-Bloodmoon,Landorus-Therian,Cresselia,Flutter Mane,,E25
E24,localdingusVGC's Fezandipiti Team,,localdingusVGC,,,,Leftovers,,,Wellspring Mask,,,Assault Vest,,,Safety Goggles,,,Covert Cloak,,,Choice Specs,,https://pokepast.es/03b6faa975063eef,Yes,Extracted,X,None,25 Sep 2023,Tweet,-,https://twitter.com/localdingusVGC/status/1706378731978179071?t=UfnUfO-_hREMEXB-Rm31kg&s=19,-,-,localdingusVGC,,Heatran,Ogerpon-Wellspring,Iron Hands,Cresselia,Fezandipiti,Flutter Mane,,E24
E23,Magnetman's Kommo-o Ogerpon Wellspring Team,,Adryan Sutantoso,,,,Sitrus Berry,,,Wellspring Mask,,,Assault Vest,,,Eviolite,,,Rocky Helmet,,,Throat Spray,,https://pokepast.es/2a2307ede81a4d96,Yes,Owner's,✔,J3MDN6,25 Sep 2023,Tweet,-,https://twitter.com/MagnetmanVGC/status/1706473588549927237?t=soidODGCG5gsUX_VzH2TxA&s=19,-,-,MagnetmanVGC,,Arcanine-Hisui,Ogerpon-Wellspring,Iron Hands,Clefairy,Sinistcha,Kommo-o,,E23
E22,Wolfey's Ogerpon Wellspring Team,,Wolfe Glick,,,,Life Orb,,,Wellspring Mask,,,Assault Vest,,,Choice Scarf,,,Mental Herb,,,Booster Energy,,https://pokepast.es/d8f0132e4e5992da,Yes,Extracted,✔,6CG49K,24 Sep 2023,Video,-,No Tweet,https://youtu.be/9nqv6nMX-Vs?si=GAnKpFHtzNesDhrq,-,WolfeyGlick,,Heatran,Ogerpon-Wellspring,Iron Hands,Landorus-Therian,Cresselia,Flutter Mane,,E22
E21,Nash's Kommo-o Team,,Sanghyeon Na,,,,Choice Band,,,Assault Vest,,,King&#39;s Rock,,,Aguav Berry,,,Sitrus Berry,,,Clear Amulet,,https://pokepast.es/eb8aa454770f6606,Yes,Owner's,✔,188VTR,23 Sep 2023,Video,-,https://twitter.com/nashvgc/status/1705826946184315188?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,https://youtu.be/r7gAKO6vJoc?si=pkHKNzLLo8LYmu7A,-,nashvgc,,Arcanine-Hisui,Iron Hands,Tornadus,Espeon,Sinistcha-Masterpiece,Kommo-o,,E21
E20,Daibaa's Trainer School Top 16 Team,,Daniel Nuñez,,,,Hearthflame Mask,,,Booster Energy,,,Assault Vest,,,Choice Scarf,,,Rocky Helmet,,,Safety Goggles,,https://pokepast.es/dcc2bec6765f464d,Yes,Extracted,✔,15CRM1,24 Sep 2023,Trainer School,Top 16,https://twitter.com/daibaa_/status/1706010952842227779?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,daibaa_,,Ogerpon-Hearthflame,Iron Bundle,Iron Hands,Landorus-Therian,Sinistcha,Kingambit,,E20
E19,Desu's Trainer School Top 4 Team,,Nico Davide Cognetta,,,,Sitrus Berry,,,Assault Vest,,,Focus Sash,,,Safety Goggles,,,Choice Specs,,,Leftovers,,https://pokepast.es/8740e3355c1d2001,Yes,Owner's,X,None,24 Sep 2023,Trainer School,Top 4,https://twitter.com/DesuVGC/status/1706009642659140017,-,-,DesuVGC,,Gastrodon-East,Rillaboom,Chien-Pao,Landorus-Therian,Flutter Mane,Kommo-o,,E19
E18,Ssaancheez's Showdown Ladder 25th Place Team,,Sergio Sanchez,,,,Hearthflame Mask,,,Assault Vest,,,Focus Sash,,,Covert Cloak,,,Choice Specs,,,Choice Band,,https://pokepast.es/f2690a29409d9eab,Yes,Owner's,✔,QTX9BK,24 Sep 2023,Showdown Ladder,25th,https://twitter.com/Ssaancheez/status/1705966479877755252,-,-,Ssaancheez,,Ogerpon-Hearthflame,Rillaboom,Chien-Pao,Tornadus,Flutter Mane,Dragonite,,E18
E17,maikeru's Snorlax Team,,Kotaro Nakagome,,,,Sitrus Berry,,,Choice Scarf,,,Focus Sash,,,Clear Amulet,,,Booster Energy,,,Choice Band,,https://pokepast.es/493e03ac0c3dd7c5,Yes,Extracted,✔,1BKNL5,23 Sep 2023,Tweet,-,https://twitter.com/rep_maikeruvgc/status/1705597135792828877?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,rep_maikeruvgc,,Tauros-Paldea-Aqua,Regieleki,Munkidori,Snorlax,Flutter Mane,Dragonite,,E17
E16,KantoClark's JoeUX9 Tour Top 8 Team,,Nicholas Clark,,,,Choice Specs,,,Hearthflame Mask,,,Focus Sash,,,Choice Scarf,,,Covert Cloak,,,Life Orb,,https://pokepast.es/d33dacd815f5b830,Yes,Extracted,✔,R7TFRV,23 Sep 2023,JoeUX9 Tour,Top 8,https://twitter.com/kantoclark/status/1705646555611476222?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,kantoclark,,Chi-Yu,Ogerpon-Hearthflame,Chien-Pao,Landorus-Therian,Tornadus,Flutter Mane,,E16
E15,Seongjae's Showdown Ladder 3rd Place Team,,Seongjae Jeong,,,,Hearthflame Mask,,,Focus Sash,,,Assault Vest,,,Throat Spray,,,Choice Scarf,,,Mental Herb,,https://pokepast.es/f30b512bffcf73a7,Yes,Owner's,X,None,23 Sep 2023,Showdown Ladder,3rd,https://twitter.com/nicky030526/status/1703660891923681707?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,nicky030526,,Ogerpon-Hearthflame,Chien-Pao,Iron Hands,Ursaluna-Bloodmoon,Landorus-Therian,Cresselia,,E15
E14,Jaylun's Double Grassy Glide Team,,Yang Chieh-Lun,,,,Hearthflame Mask,,,Assault Vest,,,Choice Scarf,,,Focus Sash,,,Rocky Helmet,,,Booster Energy,,https://pokepast.es/22b07255f896b829,Yes,Owner's,✔,D1R4FX,22 Sep 2023,Tweet,-,https://twitter.com/jaylun44/status/1705422812713025640?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,jaylun44,,Ogerpon-Hearthflame,Rillaboom,Landorus-Therian,Tornadus,Farigiraf,Flutter Mane,,E14
E13,murasaki's Ogerpon Wellspring Team,,murasaki,,,,Leftovers,,,Wellspring Mask,,,Figy Berry,,,Assault Vest,,,Sitrus Berry,,,Booster Energy,,https://pokepast.es/ec94f94f25c456a3,Yes,Extracted,✔,DFLM7W,21 Sep 2023,Tweet,-,https://twitter.com/murasaki5682/status/1704862501404590577?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,murasaki5682,,Heatran,Ogerpon-Wellspring,Rillaboom,Iron Hands,Sinistcha,Flutter Mane,,E13
E12,LegacyVGC's Trick Room Tailwind Team,,Alejandro Jimenez,,,,Leftovers,,,Choice Band,,,Rocky Helmet,,,Covert Cloak,,,Eviolite,,,Choice Specs,,https://pokepast.es/3b63b3cd1b15d6ae,Yes,Extracted,X,None,21 Sep 2023,Tweet,-,https://twitter.com/legacyvgc/status/1704843163469504981?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,legacyvgc,,Dondozo,Tyranitar,Indeedee-F,Tornadus,Dusclops,Sylveon,,E12
E11,LegacyVGC's Hard Trick Room Team,,Alejandro Jimenez,,,,Choice Specs,,,Booster Energy,,,Mental Herb,,,Rocky Helmet,,,Wiki Berry,,,Sitrus Berry,,https://pokepast.es/bc53ecf6ef13393b,Yes,Extracted,X,None,21 Sep 2023,Tweet,-,https://twitter.com/legacyvgc/status/1704843163469504981?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,legacyvgc,,Torkoal,Iron Hands,Maushold-Four,Weezing-Galar,Farigiraf,Oranguru,,E11
E10,LegacyVGC's Perish Trap Team,,Alejandro Jimenez,,,,Life Orb,,,Focus Sash,,,King&#39;s Rock,,,Sitrus Berry,,,Booster Energy,,,Safety Goggles,,https://pokepast.es/45a0e3ed441d5312,Yes,Extracted,X,None,21 Sep 2023,Tweet,-,https://twitter.com/legacyvgc/status/1704843163469504981?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,legacyvgc,,Heatran,Urshifu,Maushold,Gothitelle,Scream Tail,Salamence,,E10
E9,maikeru's Okidogi Team,,Kotaro Nakagome,,,,Hearthflame Mask,,,Focus Sash,,,Assault Vest,,,Wide Lens,,,Mental Herb,,,Choice Specs,,https://pokepast.es/39370015c8490709,Yes,Extracted,✔,2XBN4B,20 Sep 2023,Team Report,-,https://twitter.com/pokemon_gw/status/1704440017358401807?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,https://gamewith.jp/pokemon-sv/article/show/394122,-,rep_maikeruVGC,,Ogerpon-Hearthflame,Chien-Pao,Okidogi,Landorus-Therian,Tornadus,Flutter Mane,,E9
E8,FCoroado's Ogerpon Team,,Francisco Coroado,,,,Leftovers,,,Sitrus Berry,,,Focus Sash,,,Assault Vest,,,Safety Goggles,,,Pixie Plate,,https://pokepast.es/fa8109d3c12674c3,Yes,Extracted,✔,22KKBJ,20 Sep 2023,Tweet,-,https://twitter.com/fcoroado/status/1704587325525676398?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,fcoroado,,Heatran,Gyarados,Ogerpon,Iron Hands,Indeedee-F,Flutter Mane,,E8
E7,Magnetman's Empoleon Sinistcha Team,,Adryan Sutantoso,,,,Life Orb,,,Assault Vest,,,Focus Sash,,,Choice Scarf,,,Covert Cloak,,,Rocky Helmet,,https://pokepast.es/3e0e030c492aa892,Yes,Owner's,✔,H58SPQ,19 Sep 2023,Tweet,-,https://twitter.com/MagnetmanVGC/status/1704333176406213046?t=bshXLkHyFrDNYMlhe-oJyA&s=19,-,-,MagnetmanVGC,,Heatran,Empoleon,Urshifu,Landorus-Therian,Tornadus,Sinistcha,,E7
E6,PlebDoctor's Sun Team,,PlebDoctor,,,,Leftovers,,,Wide Lens,,,Hearthflame Mask,,,Focus Sash,,,Air Balloon,,,Choice Specs,,https://pokepast.es/188304f5791b9d3c,No,Owner's,X,None,17 Sep 2023,Discord,-,Discord Submission,-,-,Manual Entry,,Heatran,Ninetales,Ogerpon-Hearthflame,Lilligant-Hisui,Weezing-Galar,Flutter Mane,,E6
E5,Ryoma's Okidogi Team,,Ryoma Okamoto,,,,Sitrus Berry,,,Mago Berry,,,Leftovers,,,Wiki Berry,,,Light Clay,,,Choice Specs,,https://pokepast.es/a51d27aaa8f69ccc,Yes,Extracted,✔,2RNM4B,17 Sep 2023,Tweet,-,https://twitter.com/ryoma9901_poke/status/1703371646365753735?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,ryoma9901_poke,,Volcarona,Rillaboom,Okidogi,Ting-Lu,Sableye,Flutter Mane,,E5
E4,MoxieBoosted's Ursaluna-Bloodmoon Team,,Marcos Perez,,,,Choice Specs,,,Sitrus Berry,,,Assault Vest,,,Throat Spray,,,Mental Herb,,,Booster Energy,,https://pokepast.es/14b725a10b014a47,Yes,Extracted,✔,LMJVL9,16 Sep 2023,Video,-,No Tweet,https://youtu.be/yVepsg5L3qo?si=g_kaeNPx0ZKbeyw1,-,moxieboosted,,Chi-Yu,Amoonguss,Iron Hands,Ursaluna-Bloodmoon,Cresselia,Flutter Mane,,E4
E3,Jaylun's Showdown Ladder 11th Place Team,,Yang Chieh-Lun,,,,Sitrus Berry,,,Choice Scarf,,,Meadow Plate,,,Assault Vest,,,Rocky Helmet,,,Booster Energy,,https://pokepast.es/1f72ac50c3ea5db8,Yes,Owner's,X,None,16 Sep 2023,Showdown Ladder,11th,https://twitter.com/jaylun44/status/1702756352261759195?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,jaylun44,,Arcanine-Hisui,Urshifu-Rapid-Strike,Rillaboom,Ursaluna-Bloodmoon,Tornadus,Flutter Mane,,E3
E2,swampert's Cobalt Cup Runner Up Team,,swampert,,,,Choice Band,,,Hearthflame Mask,,,Choice Scarf,,,Focus Sash,,,Covert Cloak,,,Choice Specs,,https://pokepast.es/027b785aa430f57f,Yes,Extracted,✔,L672PF,16 Sep 2023,Cobalt Cup,Runner Up,https://twitter.com/swampert__/status/1703194931328954405?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,swampert__,,Arcanine-Hisui,Ogerpon-Hearthflame,Urshifu-Rapid-Strike,Chien-Pao,Tornadus,Flutter Mane,,E2
E1,oBirdy's Volcarona Ogerpon Team,,oBirdy,,,,Choice Band,,,Leftovers,,,Wellspring Mask,,,Assault Vest,,,Rocky Helmet,,,Sitrus Berry,,https://pokepast.es/cb82974c82a56f00,Yes,Owner's,X,None,16 Sep 2023,Discord,-,Discord Submission,-,-,Manual Entry,,Arcanine-Hisui,Volcarona,Ogerpon-Wellspring,Landorus-Therian,Tornadus,Gholdengo,,E1
